               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10648,            0.035509,            0.038533,            0.015232,             0.33666,            0.020456,           0.0045013,            0.088662,            0.024223,            0.028409,              0.0874,              0.0014,              0.0014
                   1,            0.083706,            0.038637,            0.036589,           0.0054749,             0.87852,            0.046379,            0.012412,            0.056929,             0.02215,            0.029824,            0.073326,           0.0023258,           0.0023258
                   2,            0.072533,            0.038889,            0.034035,             0.25609,             0.21409,             0.18502,            0.064678,              0.0483,            0.020457,              0.0274,            0.058658,           0.0026576,           0.0026576
                   3,            0.063006,            0.035362,            0.030916,             0.24612,             0.37514,             0.26247,            0.093543,            0.043747,             0.01934,            0.024954,            0.043395,           0.0023954,           0.0023954
                   4,            0.057864,            0.034814,            0.031047,             0.26266,             0.55872,             0.34001,             0.15864,            0.039024,            0.019666,             0.02451,            0.027539,           0.0015392,           0.0015392
                   0,             0.10648,            0.035509,            0.038533,            0.015232,             0.33666,            0.020456,           0.0045013,            0.088662,            0.024223,            0.028409,              0.0874,              0.0014,              0.0014
                   1,            0.083706,            0.038637,            0.036589,           0.0054749,             0.87852,            0.046379,            0.012412,            0.056929,             0.02215,            0.029824,            0.073326,           0.0023258,           0.0023258
                   2,            0.072533,            0.038889,            0.034035,             0.25609,             0.21409,             0.18502,            0.064678,              0.0483,            0.020457,              0.0274,            0.058658,           0.0026576,           0.0026576
                   3,            0.063006,            0.035362,            0.030916,             0.24612,             0.37514,             0.26247,            0.093543,            0.043747,             0.01934,            0.024954,            0.043395,           0.0023954,           0.0023954
                   4,            0.057864,            0.034814,            0.031047,             0.26266,             0.55872,             0.34001,             0.15864,            0.039024,            0.019666,             0.02451,            0.027539,           0.0015392,           0.0015392
                   0,             0.10648,            0.035509,            0.038533,            0.015232,             0.33666,            0.020456,           0.0045013,            0.088662,            0.024223,            0.028409,              0.0874,              0.0014,              0.0014
                   1,            0.083706,            0.038637,            0.036589,           0.0054749,             0.87852,            0.046379,            0.012412,            0.056929,             0.02215,            0.029824,            0.073326,           0.0023258,           0.0023258
                   2,            0.072533,            0.038889,            0.034035,             0.25609,             0.21409,             0.18502,            0.064678,              0.0483,            0.020457,              0.0274,            0.058658,           0.0026576,           0.0026576
                   3,            0.063006,            0.035362,            0.030916,             0.24612,             0.37514,             0.26247,            0.093543,            0.043747,             0.01934,            0.024954,            0.043395,           0.0023954,           0.0023954
                   4,            0.057864,            0.034814,            0.031047,             0.26266,             0.55872,             0.34001,             0.15864,            0.039024,            0.019666,             0.02451,            0.027539,           0.0015392,           0.0015392
